Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
170800,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)NCc2cncc(Cl)c2)c2ccccc12 |r|,IC50,nM,100
170801,C[C@@]1(F)C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)N[C@H](CCO)c1cccc(Cl)c1F |r|,IC50,nM,29
170803,COC[C@@H](NC(=O)[C@@H]1[C@@H]2C[C@@H]2CN1C(=O)Nc1cn(C(N)=O)c2ccccc12)c1cccc(Cl)c1F |r|,IC50,nM,103
170804,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2ccnc(c2F)C(F)(F)F)c2ccccc12 |r|,IC50,nM,989
170805,NC(=O)n1cc(NC(=O)N2CCC[C@H]2C(=O)Nc2cccc(c2)S(N)(=O)=O)c2ccccc12 |r|,IC50,nM,850
170806,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)Nc2cccc(OC(F)F)c2)c2ccccc12 |r|,IC50,nM,150
170807,COc1cc(F)c(F)c(CNC(=O)[C@@H]2SCCN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,80
170808,COC[C@@H](NC(=O)[C@@H]1C[C@H]2C[C@H]2N1C(=O)Nc1cn(C(N)=O)c2ccccc12)c1cccc(Cl)c1F |r|,IC50,nM,8
170809,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cncc(Cl)c2)c2ccccc12 |r|,IC50,nM,70
170810,CCc1cccc(NC(=O)[C@@H]2CCCN2C(=O)Nc2cn(C(N)=O)c3ccccc23)n1 |r|,IC50,nM,650
170811,C[C@@]1(F)C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)N[C@H](CO)c1cccc(Cl)c1F |r|,IC50,nM,52
170812,CNC(=O)c1cc(Cl)c(F)c(CNC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,141
170813,NC(=O)n1cc(NC(=O)N2C[C@](F)(CF)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,250
170814,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)NCc2ncccc2F)c2ccccc12 |r|,IC50,nM,200
170815,NC(=O)n1cc(NC(=O)N2C[C@@](F)(CN3CCOCC3)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,200
170816,COC(=O)c1cc(Cl)c(F)c(CNC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,17
170819,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)Nc2cncc(Cl)c2)c2ccccc12 |r|,IC50,nM,400
170820,CN(C)C[C@@H](NC(=O)[C@@H]1C[C@@H](F)CN1C(=O)Nc1cn(C(N)=O)c2ccccc12)c1cccc(Cl)c1F |r|,IC50,nM,119
170822,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cc(cc(Cl)c2F)C(=O)N2CCOCC2)c2ccccc12 |r|,IC50,nM,549
170823,COc1cccc(NC(=O)[C@@H]2CC3CC3N2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,325
170824,CCN(CC)c1cc(Cl)c(F)c(CNC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,114
170826,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)Nc2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,150
170827,COC1CN(C1)C(=O)c1cc(Cl)c(F)c(CNC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,434
170830,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCc2ccccc2)c2ccccc12 |r|,IC50,nM,78
170831,NC(=O)n1cc(NC(=O)N2CC[C@@H](O)[C@H]2C(=O)NCc2ccc(Cl)s2)c2ccccc12 |r|,IC50,nM,25
170832,CC(=O)n1cc(NC(=O)N2C[C@@H](CO)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,200
170833,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)NCc2cccc(c2F)C(F)(F)F)c2ccccc12 |r|,IC50,nM,75
