Monomer_ID,SMILES,Affinity_Type,Affinity_Value
370153,C[C@@H]1CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(CCO)c1=O |r|,Ki,0.480
370154,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C)c(=O)n([C@@H]3CCC[C@@H]3C)c2n1 |r|,Ki,155
370155,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C)c(=O)n([C@H]3CCC[C@H]3C)c2n1 |r|,Ki,1.56
370156,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@H]3C)c2n1 |r|,Ki,0.090
370157,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CCC[C@H]3C)c2n1 |r|,Ki,0.930
370158,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(CCO)c(=O)n([C@H]3CCC[C@H]3C)c2n1 |r|,Ki,0.770
370159,C[C@H]1CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(CC(N)=O)c1=O |r|,Ki,0.270
370160,COCc1cc2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2n([C@@H]2CCC[C@@H]2C)c1=O |r|,Ki,1.39
370161,COCc1cc2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2n([C@H]2CCC[C@H]2C)c1=O |r|,Ki,4.43
370162,C[C@H]1CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(CO)c1=O |r|,Ki,0.270
370163,C[C@@H]1CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(CO)c1=O |r|,Ki,1.74
370164,COCCS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CCC[C@@H]3C)c2n1 |r|,Ki,0.120
370165,CS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@H]3CC[C@H](O)C3)c2n1 |r|,Ki,1.09
370166,CS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n([C@@H]3CC[C@@H](O)C3)c2n1 |r|,Ki,1.44
370167,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C)c(=O)n([C@@H]3CCC[C@H]3O)c2n1 |r|,Ki,4.66
