Monomer_ID,Internal_ID,SMILES,pKi
50339452,2156,CCC(=O)O[C@@H]1O[C@H](COS(N)(=O)=O)[C@@H](OC(=O)CC)[C@H](OC(=O)CC)[C@H]1OC(=O)CC |r|,7.959
50109270,2157,Cc1cccc(N2CCN(CC2)C(=O)Nc2ccc(OS(N)(=O)=O)cc2)c1C,7.959
50094449,2158,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,7.959
50339451,2159,CCCC(=O)O[C@@H]1O[C@H](COS(N)(=O)=O)[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]1OC(=O)CCC |r|,7.959
50109269,2160,COc1cccc(c1)N1CCN(CC1)C(=O)Nc1ccc(OS(N)(=O)=O)cc1,7.959
50339450,2161,CC(=O)O[C@@H]1O[C@H](COS(N)(=O)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O |r|,7.959
50504766,2162,Nc1nc(nn1-c1ccc(cc1)S(N)(=O)=O)C(=O)NNC(=O)Nc1ccc(Cl)cc1,7.959
50012216,2163,CN(C)CCNC(=O)c1cc2cc(sc2s1)S(N)(=O)=O,7.959
50035694,2164,NS(=O)(=O)c1ccc(CN2C(=O)c3cc(Cl)c(Cl)cc3C2=O)cc1,7.959
50339449,2165,CC(=O)O[C@@H]1O[C@H](COS(N)(=O)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O |r|,7.959
50537847,2166,NS(=O)(=O)c1ccc(cc1)-c1nnc(o1)-c1ccc(cc1)-c1ccccc1,7.959
50154330,2167,NS(=O)(=O)c1ccc(NC(=S)N[C@@H](Cc2c[nH]c3ccccc23)C(O)=O)cc1,7.959
50339447,2168,CO[C@H]1O[C@H](COS(N)(=O)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O |r|,7.959
50428831,2169,NS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=N)cc1,7.959
